epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1510.76,0.40469,1.15567,0.39268,0.8797,0.95616,0.93308,0.96973,0.91692,0.95433,0.9266,0.96007,0.65135,0.36041,1.23557,0.3542,0.85045,0.000294344,0.000294344,0.000294344
114,1522.72,0.4243,1.1651,0.37252,0.87312,0.96278,0.92527,0.97527,0.92163,0.95982,0.91676,0.96241,0.66109,0.35337,1.24694,0.3407,0.84685,0.000288899,0.000288899,0.000288899
115,1534.97,0.41078,1.21751,0.37595,0.87003,0.96998,0.92937,0.97517,0.91949,0.97128,0.92027,0.96708,0.64505,0.34446,1.3435,0.33346,0.84761,0.000283472,0.000283472,0.000283472
116,1547.81,0.39852,1.16197,0.36796,0.8681,0.97647,0.93083,0.972,0.91918,0.97365,0.91925,0.96192,0.65681,0.34818,1.26752,0.33318,0.84661,0.000278063,0.000278063,0.000278063
117,1561.52,0.42226,1.15541,0.38177,0.88518,0.96205,0.93202,0.97353,0.92249,0.95842,0.92823,0.96649,0.66213,0.35716,1.23687,0.34161,0.84827,0.000272676,0.000272676,0.000272676
118,1574.95,0.42258,1.17355,0.38917,0.88337,0.9732,0.9238,0.97067,0.91814,0.97077,0.91724,0.96518,0.6807,0.37125,1.18508,0.34831,0.85663,0.000267309,0.000267309,0.000267309
119,1587.02,0.41816,1.20776,0.36837,0.88016,0.96589,0.92979,0.97127,0.9214,0.96651,0.92013,0.96194,0.64765,0.35324,1.28203,0.34312,0.84859,0.000261966,0.000261966,0.000261966
120,1599.9,0.39645,1.15186,0.3512,0.86271,0.95959,0.93883,0.97232,0.92327,0.96103,0.93104,0.96715,0.67352,0.35247,1.20287,0.33564,0.84542,0.000256647,0.000256647,0.000256647
121,1611.85,0.39683,1.13191,0.3597,0.86626,0.95437,0.93328,0.97256,0.92255,0.94814,0.92644,0.96324,0.64896,0.35057,1.30576,0.34146,0.84678,0.000251354,0.000251354,0.000251354
122,1624.42,0.39668,1.13175,0.35812,0.86902,0.97051,0.93219,0.97418,0.92601,0.96548,0.92715,0.96225,0.64868,0.3436,1.26129,0.32433,0.84827,0.000246088,0.000246088,0.000246088
123,1637.9,0.40671,1.16735,0.35995,0.87781,0.9721,0.92125,0.9746,0.92611,0.96729,0.92179,0.96308,0.65843,0.33783,1.22198,0.32318,0.84204,0.00024085,0.00024085,0.00024085
124,1650.45,0.39019,1.12255,0.35237,0.86473,0.94105,0.93064,0.96863,0.91773,0.93992,0.9189,0.95771,0.62621,0.34507,1.38676,0.3634,0.8475,0.000235641,0.000235641,0.000235641
